iter	Passed	Remaining
800	1496	371
801	1498	369
802	1499	367
803	1500	365
804	1502	363
805	1503	361
806	1504	359
807	1506	357
808	1507	355
809	1508	353
810	1509	351
811	1510	349
812	1511	347
813	1513	345
814	1514	343
815	1515	341
816	1517	339
817	1518	337
818	1520	335
819	1521	333
820	1522	331
821	1523	329
822	1524	327
823	1525	325
824	1527	323
825	1528	321
826	1529	320
827	1531	318
828	1533	316
829	1534	314
830	1535	312
831	1536	310
832	1537	308
833	1539	306
834	1540	304
835	1541	302
836	1542	300
837	1543	298
838	1545	296
839	1547	294
840	1548	292
841	1549	290
842	1550	288
843	1551	286
844	1553	284
845	1554	282
846	1555	280
847	1556	279
848	1558	277
849	1559	275
850	1560	273
851	1562	271
852	1563	269
853	1564	267
854	1565	265
855	1567	263
856	1568	261
857	1569	259
858	1570	257
859	1571	255
860	1573	254
861	1575	252
862	1576	250
863	1577	248
864	1578	246
865	1580	244
866	1581	242
867	1582	240
868	1583	238
869	1584	236
870	1585	234
871	1587	233
872	1589	231
873	1591	229
874	1592	227
875	1593	225
876	1594	223
877	1596	221
878	1598	219
879	1600	218
880	1602	216
881	1604	214
882	1606	212
883	1607	210
884	1609	209
885	1611	207
886	1613	205
887	1618	204
888	1622	202
889	1624	200
890	1626	198
891	1627	197
892	1629	195
893	1631	193
894	1634	191
895	1636	189
896	1638	188
897	1641	186
898	1643	184
899	1644	182
900	1646	180
901	1649	179
902	1650	177
903	1652	175
904	1655	173
905	1657	171
906	1661	170
907	1664	168
908	1667	166
909	1669	165
910	1671	163
911	1672	161
912	1674	159
913	1678	157
914	1680	156
915	1682	154
916	1683	152
917	1684	150
918	1686	148
919	1687	146
920	1688	144
921	1689	142
922	1691	141
923	1694	139
924	1696	137
925	1697	135
926	1699	133
927	1700	131
928	1701	130
929	1703	128
930	1704	126
931	1706	124
932	1708	122
933	1710	120
934	1712	119
935	1713	117
936	1715	115
937	1717	113
938	1718	111
939	1722	109
940	1725	108
941	1727	106
942	1728	104
943	1730	102
944	1732	100
945	1734	98
946	1736	97
947	1739	95
948	1740	93
949	1742	91
950	1744	89
951	1745	88
952	1746	86
953	1748	84
954	1749	82
955	1753	80
956	1754	78
957	1755	76
958	1757	75
959	1758	73
960	1759	71
961	1761	69
962	1764	67
963	1766	65
964	1769	64
965	1771	62
966	1773	60
967	1776	58
968	1777	56
969	1779	55
970	1780	53
971	1783	51
972	1784	49
973	1786	47
974	1787	45
975	1788	43
976	1790	42
977	1791	40
978	1792	38
979	1793	36
980	1795	34
981	1796	32
982	1798	31
